List Sr.No.,Set No.,2025 Set,Name,Country,Age,Specialism,,,2024 Team,2024 IPL,C/U/A,Reserve Price Rs Lakh
80,12,USP1,Suyash Sharma,India,21,BOWLER,RHB,RIGHT ARM Leg Spin,KKR,2,Uncapped,30
81,12,USP1,Karn Sharma,India,37,BOWLER,LHB,RIGHT ARM Leg Spin,RCB,9,Uncapped,50
82,12,USP1,Kumar Kartikeya Singh,India,27,BOWLER,RHB,LEFT ARM Slow Orthodox,MI,0,Uncapped,30
83,12,USP1,Manav Suthar,India,22,BOWLER,LHB,LEFT ARM Slow Orthodox,GT,0,Uncapped,30
84,13,BA2,Mayank Agarawal,India,34,BATTER,RHB,RIGHT ARM Off Spin,SRH,4,Capped,100
85,13,BA2,Faf Du Plessis,South Africa,40,BATTER,RHB,,RCB,15,Capped,200
86,13,BA2,Glenn Phillips,New Zealand,28,BATTER,RHB,RIGHT ARM Off Spin,SRH,0,Capped,200
87,13,BA2,Rovman Powell,West Indies,31,BATTER,RHB,RIGHT ARM Fast Medium,RR,10,Capped,150
88,13,BA2,Ajinkya Rahane,India,36,BATTER,RHB,,CSK,13,Capped,150
89,13,BA2,Prithvi Shaw,India,25,BATTER,RHB,,DC,8,Capped,75
90,13,BA2,Kane Williamson,New Zealand,34,BATTER,RHB,,GT,2,Capped,200
91,14,AL2,Sam Curran,England,26,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,PBKS,13,Capped,200
92,14,AL2,Marco Jansen,South Africa,24,ALL-ROUNDER,RHB,LEFT ARM Fast,SRH,3,Capped,125
93,14,AL2,Daryl Mitchell,New Zealand,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,CSK,12,Capped,200
94,14,AL2,Krunal Pandya,India,34,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,LSG,14,Capped,200
95,14,AL2,Nitish Rana,India,31,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,KKR,2,Capped,150
96,14,AL2,Washington Sundar,India,25,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,SRH,2,Capped,200
97,14,AL2,Shardul Thakur,India,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,CSK,9,Capped,200
98,15,WK2,K.S Bharat,India,31,WICKETKEEPER,RHB,,KKR,0,Capped,75
99,15,WK2,Alex Carey,Australia,33,WICKETKEEPER,LHB,,,,Capped,100
100,15,WK2,Donovan Ferreira,South Africa,26,WICKETKEEPER,RHB,RIGHT ARM Off Spin,RR,2,Capped,75
101,15,WK2,Shai Hope,West Indies,31,WICKETKEEPER,RHB,,DC,9,Capped,125
102,15,WK2,Josh Inglis,Australia,30,WICKETKEEPER,RHB,,,,Capped,200
103,15,WK2,Ryan Rickelton,South Africa,28,WICKETKEEPER,LHB,,,,Capped,100
104,16,FA2,Deepak Chahar,India,32,BOWLER,RHB,RIGHT ARM Fast Medium,CSK,8,Capped,200
105,16,FA2,Gerald Coetzee,South Africa,24,BOWLER,RHB,RIGHT ARM Fast,Mi,10,Capped,125
106,16,FA2,Akash Deep,India,28,BOWLER,RHB,RIGHT ARM Fast,RCB,1,Capped,100
